network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude,accuracy_radius
1.0.0.0/24,2158177,2077456,,0,0,3000,-37.8159,144.9669,1000
1.0.1.0/24,1814991,1814991,,0,0,,34.7732,113.722,1000
1.0.2.0/23,1814991,1814991,,0,0,,34.7732,113.722,1000
1.0.4.0/22,2147714,2077456,,0,0,2000,-33.8715,151.2006,1000
1.0.8.0/21,1814991,1814991,,0,0,,34.7732,113.722,1000
1.0.16.0/20,1861060,1861060,,0,0,,35.6897,139.6895,500
1.0.32.0/19,1814991,1814991,,0,0,,34.7732,113.722,1000
1.0.64.0/24,1862415,1861060,,0,0,730-0801,34.3978,132.4525,10
1.0.65.0/24,11791020,1861060,,0,0,731-3361,34.5074,132.4353,10
1.0.66.0/23,1864074,1861060,,0,0,739-0421,34.3041,132.3,50
1.0.68.0/22,1850053,1861060,,0,0,738-0203,34.3497,132.2155,50
1.0.72.0/22,1862415,1861060,,0,0,730-0801,34.3978,132.4525,10
1.0.76.0/24,1862415,1861060,,0,0,730-0801,34.3978,132.4525,50
1.0.77.0/24,1862413,1861060,,0,0,734-0001,34.6067,132.7854,50
1.0.78.0/24,1862415,1861060,,0,0,730-0801,34.3978,132.4525,20
1.0.79.0/25,1862415,1861060,,0,0,730-0811,34.3927,132.4501,10
1.0.79.128/25,11750404,1861060,,0,0,731-5131,34.3585,132.3653,10
1.0.80.0/22,1849892,1861060,,0,0,680-0831,35.4979,134.2309,100
1.0.84.0/24,1849892,1861060,,0,0,680-0831,35.4979,134.2309,100
1.0.85.0/25,1849892,1861060,,0,0,680-0831,35.4979,134.2309,100
1.0.85.128/25,8625317,1861060,,0,0,683-0101,35.4914,133.2657,100
1.0.86.0/24,1861084,1861060,,0,0,693-0011,35.3556,132.7884,100
1.0.87.0/24,1849892,1861060,,0,0,680-0831,35.4979,134.2309,100
1.0.88.0/23,1861084,1861060,,0,0,693-0011,35.3556,132.7884,200
1.0.90.0/23,1849892,1861060,,0,0,680-0056,35.4979,134.2309,100
